Filename     : evrp-benchmark-set/E-n22-k4.evrp
Solution time: 17.76
    1- {'Avg': 1181.2199731768674, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    2- {'Avg': 1106.6121198554965, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    3- {'Avg': 1097.114305100898, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    4- {'Avg': 1065.412995187383, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    5- {'Avg': 1053.275852409112, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    6- {'Avg': 1027.9932510492847, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    7- {'Avg': 1018.7309294387522, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    8- {'Avg': 1012.6846286539622, 'Best Individual': (569.3343939957324, [[10, 8, 6, 3, 2, 7], [13, 11, 9, 12, 5, 4], [19, 16, 15, 17, 14], [18, 21, 20, 22]], [[1, 10, 8, 6, 3, 2, 30, 26, 7, 1], [1, 13, 11, 9, 12, 24, 29, 30, 25, 26, 5, 4, 1], [1, 19, 16, 15, 17, 24, 14, 1], [1, 18, 21, 20, 23, 22, 1]])}
    9- {'Avg': 1017.1293704708966, 'Best Individual': (556.9448046506918, [[10, 8, 7, 4, 5, 12], [14, 9, 6, 3, 2], [11, 15, 17], [20, 13], [16, 19, 21, 18, 22]], [[1, 10, 8, 7, 4, 26, 5, 12, 1], [1, 14, 9, 6, 30, 3, 2, 1], [1, 11, 15, 17, 1], [1, 20, 13, 28, 24, 1], [1, 16, 19, 21, 18, 27, 23, 22, 1]])}
   10- {'Avg': 991.8382952344614, 'Best Individual': (551.7158199163016, [[4, 2, 3, 6, 8, 10], [5, 12, 16, 19], [14, 17, 15], [20, 7], [9, 11, 13, 18, 21, 22]], [[1, 7, 2, 3, 30, 6, 8, 10, 1], [1, 4, 5, 12, 25, 9, 11, 13, 1], [1, 14, 17, 15, 18, 23, 29, 24, 27, 28, 16, 1], [1, 20, 22, 21, 27, 19, 1]])}
   11- {'Avg': 980.8683283384786, 'Best Individual': (551.7158199163016, [[4, 2, 3, 6, 8, 10], [5, 12, 16, 19], [14, 17, 15], [20, 7], [9, 11, 13, 18, 21, 22]], [[1, 7, 2, 3, 30, 6, 8, 10, 1], [1, 4, 5, 12, 25, 9, 11, 13, 1], [1, 14, 17, 15, 18, 23, 29, 24, 27, 28, 16, 1], [1, 20, 22, 21, 27, 19, 1]])}
   12- {'Avg': 996.9937924974149, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   13- {'Avg': 983.5590662938688, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   14- {'Avg': 989.609648531928, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   15- {'Avg': 943.2814799543007, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   16- {'Avg': 933.4545102835518, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   17- {'Avg': 932.4901787987826, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   18- {'Avg': 933.3376771108523, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   19- {'Avg': 913.4079391815128, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   20- {'Avg': 921.7391522379314, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   21- {'Avg': 923.6871685554866, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   22- {'Avg': 910.7749338982943, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   23- {'Avg': 937.2867420651821, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
   24- {'Avg': 905.6456022168345, 'Best Individual': (521.3395158515242, [[4, 2, 3, 6, 8, 10], [5, 12, 20, 22], [7, 14, 17], [21, 19], [9, 11, 13, 16, 15, 18]], [[1, 9, 7, 8, 6, 3, 30, 2, 4, 1], [1, 5, 12, 25, 24, 14, 11, 10, 1], [1, 22, 21, 19, 27, 28, 16, 13, 1], [1, 15, 17, 18, 20, 1]])}
